vacancy_id,title,company_name,total_quota,show_quota,stream_id,stream_name,employment_status,selected_job,is_saved,experience_level,total_applied
0F4A378714B0B78A9985A98510399E3F554E4CA79D41907C7D62DAB08D7944C08AE874FBC82FFB778461D77D2029632C,"Junior Technician Operasi, Pemeliharaan Distribusi dan Pengelolaan Unit Tersebar",PT Perusahaan Listrik Negara (Persero),15000,1,20A83C4A9A636EA8BED36CF993C8AE8B2200D6EFBEA42A748814D05011CB5871C88DA758B221425D992E34F176F3A4A1,Engineering & Maintenance,Pegawai Tetap,False,False,Orang Asli Papua (OAP),0
8F7807902072DE684356EDF37DFA404936A6A20C2833DB58CD753CC25712F2367FB7D236B9D7A2074EA79779D37AA831,Junior Officer Pengendalian Kontrak,PT Perusahaan Listrik Negara (Persero) - PT PLN Energi Gas,1000,1,FECC5FE813435107B1A3C077745161DAD3112B1CD4933E60F151392FCDDD10BCD2018C4F3164EFB9061D4B378461726D,Legal & Compliance,Pegawai Tetap,False,False,Fresh Graduate,14
4407362421D5CBB95F91AB460AC9724ADAB348922F56704DB4EAF6C5633390C9D2A4022405C6F69AC44AF33B39DE2AEC,Junior Technician K3L,PT Perusahaan Listrik Negara (Persero) - PT PLN Energi Gas,1000,1,71EE70400E80344A7972D0EFC94477C2,Sistem Management & Safety,Pegawai Tetap,False,False,Fresh Graduate,100
0E5A2818AD123EFC116FE8EF15401B740AD63ACF4BAF7331B1BEFB18EF86C9F7F66073FA2EA264134777AE798B879D87,Junior Operasi dan Pemeliharaan,PT Perusahaan Listrik Negara (Persero) - PT PLN Energi Gas,3000,1,20A83C4A9A636EA8BED36CF993C8AE8B2200D6EFBEA42A748814D05011CB5871C88DA758B221425D992E34F176F3A4A1,Engineering & Maintenance,Pegawai Tetap,False,False,Fresh Graduate,449
8CD28104488995E53EF4EDAF94029316778F9A4E908C86441D06940DC47D5325B678726381BE6E23EEC1D741F1E10F09,Junior Technician Pemeliharaan,PT Perusahaan Listrik Negara (Persero) - PT PLN Energi Gas,1000,1,20A83C4A9A636EA8BED36CF993C8AE8B2200D6EFBEA42A748814D05011CB5871C88DA758B221425D992E34F176F3A4A1,Engineering & Maintenance,Pegawai Tetap,False,False,Fresh Graduate,270
63F488B491030251C0BB93B9108C8F76B2D2B9BEB57B1D54EFE08B350160D8CCC32419F3CE5CE4EC55E47578039CA160,Junior Technician Operasi,PT Perusahaan Listrik Negara (Persero) - PT PLN Energi Gas,1000,1,20A83C4A9A636EA8BED36CF993C8AE8B2200D6EFBEA42A748814D05011CB5871C88DA758B221425D992E34F176F3A4A1,Engineering & Maintenance,Pegawai Tetap,False,False,Fresh Graduate,222
3FB69F566A4CE1CB531ED9E8E2FA2C551DDBE47AA70EDDAD844727538E8D51C01AC453371CA1725EF0AFA00E0127354C,"Junior Technician Operasi, Pemeliharaan Distribusi dan Pengelolaan Unit Tersebar",PT Perusahaan Listrik Negara (Persero),10000,1,20A83C4A9A636EA8BED36CF993C8AE8B2200D6EFBEA42A748814D05011CB5871C88DA758B221425D992E34F176F3A4A1,Engineering & Maintenance,Pegawai Tetap,False,False,Fresh Graduate,567
5029F991DC3BAE526DFCDDCBFF685327D09D99FF89D9D9E5A645E3A74F7B29C5EFC806EFC70AF9779010CB2328EEA872,Strategi dan Perencanaan Investasi,PT Bahana Pembinaan Usaha Indonesia (Persero),1000,1,7835FD9522F08DD97A83B3871591408352EA49E853659D816839E3DC5C8EE314600E78430748C34795DA1E7043B57EE4,Keuangan,Pegawai Tetap,False,False,Experienced Hire,375
3F89181D864B7460734B7F6FCB25263E2524EDD9F23C4E1FB1110E940159B0B800EBCDC68C1A2B61D264B4177F71AD6B,Staff Analis Kredit Vanture Capital Officer,PT Bahana Pembinaan Usaha Indonesia (Persero),1000,1,78A5FB755A30EEBC7C4120CA2EC665FCBDF257265E0D77A54DFFB0A739B5396FC2136D3B07C4F2675FCC4E0DE5DB032C,Bisnis Niaga / Pemasaran,Pegawai Tetap,False,False,Experienced Hire,1000
22F0789BAC9B77691BE9F897DD75453E8D28F05E7D93A990CC5E1A8A6452A3916728C22213471BA4291C1F006409F8F0,Staf Perpajakan,PT Barata Indonesia (Persero),1000,1,7835FD9522F08DD97A83B3871591408352EA49E853659D816839E3DC5C8EE314600E78430748C34795DA1E7043B57EE4,Keuangan,Pegawai Tetap,False,False,Experienced Hire,28
